6.334: a16465.
51.982: a24.
52.192: a64.
52.382: a64.
52.382: end
53.085: a64.
53.085: chkpt[24]=8
53.116: chkpt[64]=8
53.117: D6 CC E9 B1 EF 04 77 39  ......w9
53.118: F8 01 92 45 5E 96 DE 6A  ...E^..j
53.119: start
53.581: a24.
53.803: a24.
54.267: a64.
54.477: a64.
54.970: a24.
55.161: a64.
55.369: a64.
55.849: a64.
56.057: a24.
56.520: a24.
56.745: a64.
56.936: a64.
57.416: a64.
57.624: a24.
58.103: a64.
58.311: a64.
58.311: end
58.312: chkpt[24]=8
58.312: chkpt[64]=8
58.340: D6 CC E9 B1 EF 04 77 39  ......w9
58.341: F8 01 92 45 5E 96 DE 6A  ...E^..j
58.341: start
58.804: a24.
58.998: a24.
59.204: a64.
59.683: a64.
59.891: a24.
60.358: a24.
60.563: a64.
60.770: a64.
61.250: a64.
61.458: a24.
61.954: a24.
62.162: a64.
62.629: a64.
62.852: a64.
63.042: a24.
63.504: a64.
63.713: a64.
63.729: end
63.730: chkpt[24]=16
63.731: chkpt[64]=8
63.755: D6 CC E9 B1 EF 04 77 39  ......w9
63.757: F8 01 92 45 5E 96 DE 6A  ...E^..j
63.759: start
64.219: a24.
64.425: a24.
64.618: a24.
65.098: a64.
65.306: a64.
65.787: a24.
65.994: a64.
66.470: a64.
66.664: a24.
66.873: a24.
67.350: a24.
67.558: a64.
68.040: a64.
68.246: a24.
68.454: a64.
68.917: a64.
68.935: end
68.937: chkpt[24]=32
68.938: chkpt[64]=8
68.965: D6 CC E9 B1 EF 04 77 39  ......w9
68.967: F8 01 92 45 5E 96 DE 6A  ...E^..j
68.968: start
69.151: a64.
69.153: D6 CC E9 B1 EF 04 77 39  ......w9
69.168: F8 01 92 45 5E 96 DE 6A  ...E^..j
69.169: start
69.630: a24.
69.841: a24.
70.317: a64.
70.543: a64.
70.735: a24.
71.199: a64.
71.405: a64.
71.868: a64.
72.094: a24.
72.587: a24.
72.797: a64.
73.005: a64.
73.485: a64.
73.694: a64.
74.173: a64.
74.380: a64.
74.381: end
74.381: chkpt[24]=32
74.395: chkpt[64]=16
74.397: D6 CC E9 B1 EF 04 77 39  ......w9
74.414: F8 01 92 45 5E 96 DE 6A  ...E^..j
74.415: start
74.605: a24.
74.608: D6 CC E9 B1 EF 04 77 39  ......w9
74.620: F8 01 92 45 5E 96 DE 6A  ...E^..j
74.621: start
75.065: a24.
75.276: a24.
75.754: a64.
75.977: a64.
76.456: a24.
76.665: a64.
76.872: a64.
77.336: a64.
77.563: a24.
78.025: a24.
78.232: a64.
78.711: a64.
78.922: a64.
79.127: a24.
79.592: a64.
79.800: a64.
79.801: end
79.840: chkpt[24]=64
79.841: chkpt[64]=16
79.846: D6 CC E9 B1 EF 04 77 39  ......w9
79.850: F8 01 92 45 5E 96 DE 6A  ...E^..j
79.851: start
80.300: a24.
80.510: a24.
80.988: a64.
81.211: a64.
81.403: a64.
81.883: a24.
82.109: a64.
82.586: a64.
82.795: a24.
82.986: a24.
83.451: a24.
83.658: a64.
84.137: a64.
84.362: a24.
84.826: a64.
85.015: a64.
85.032: end
85.032: chkpt[24]=64
85.033: chkpt[64]=16
85.058: D6 CC E9 B1 EF 04 77 39  ......w9
85.059: F8 01 92 45 5E 96 DE 6A  ...E^..j
85.059: start
85.252: a24.
85.277: D6 CC E9 B1 EF 04 77 39  ......w9
85.281: F8 01 92 45 5E 96 DE 6A  ...E^..j
85.283: start
85.739: a24.
85.934: a24.
86.414: a64.
86.619: a64.
86.829: a24.
87.290: a64.
87.515: a64.
87.978: a64.
88.186: a24.
88.649: a24.
88.860: a64.
89.065: a64.
89.546: a64.
89.753: a64.
90.217: a64.
90.409: a64.
90.425: end
90.427: chkpt[24]=64
90.429: chkpt[64]=32
90.450: D6 CC E9 B1 EF 04 77 39  ......w9
90.453: F8 01 92 45 5E 96 DE 6A  ...E^..j
90.454: start
90.624: a24.
90.647: D6 CC E9 B1 EF 04 77 39  ......w9
90.650: F8 01 92 45 5E 96 DE 6A  ...E^..j
90.652: start
91.110: a24.
91.319: a24.
91.797: a64.
92.004: a64.
92.484: a24.
92.676: a64.
92.887: a64.
93.363: a64.
93.555: a24.
94.035: a24.
94.262: a64.
94.454: a64.
94.934: a64.
95.139: a64.
95.618: a64.
95.828: a64.
95.841: end
95.842: chkpt[24]=64
95.843: chkpt[64]=64
95.868: D6 CC E9 B1 EF 04 77 39  ......w9
95.870: F8 01 92 45 5E 96 DE 6A  ...E^..j
95.870: start
96.333: a24.
96.333: D6 CC E9 B1 EF 04 77 39  ......w9
96.348: F8 01 92 45 5E 96 DE 6A  ...E^..j
96.348: start
96.539: a24.
96.746: a24.
97.213: a64.
97.417: a64.
97.898: a24.
98.124: a64.
98.313: a64.
98.762: a64.
98.984: a24.
99.448: a24.
99.659: a64.
100.138: a64.
100.359: a24.
100.551: a24.
101.014: a64.
101.241: a64.
101.242: end
101.243: chkpt[24]=128
101.270: chkpt[64]=64
101.273: D6 CC E9 B1 EF 04 77 39  ......w9
101.276: F8 01 92 45 5E 96 DE 6A  ...E^..j
101.277: start
101.737: a24.
101.740: D6 CC E9 B1 EF 04 77 39  ......w9
101.755: F8 01 92 45 5E 96 DE 6A  ...E^..j
101.756: start
101.957: a24.
102.440: a24.
102.613: a64.
102.821: a64.
103.300: a24.
103.523: a64.
103.991: a64.
104.180: a64.
104.387: a24.
104.868: a24.
105.059: a64.
105.541: a64.
105.747: a24.
105.955: a24.
106.419: a64.
106.629: a64.
106.630: end
106.663: chkpt[24]=256
106.664: chkpt[64]=64
106.665: D6 CC E9 B1 EF 04 77 39  ......w9
106.666: F8 01 92 45 5E 96 DE 6A  ...E^..j
106.667: start
107.144: a24.
107.146: D6 CC E9 B1 EF 04 77 39  ......w9
107.148: F8 01 92 45 5E 96 DE 6A  ...E^..j
107.149: start
107.336: a24.
107.816: a24.
108.005: a64.
108.200: a64.
108.679: a24.
108.884: a64.
109.347: a64.
109.555: a64.
109.747: a24.
110.211: a24.
110.435: a64.
110.917: a64.
111.126: a24.
111.602: a24.
111.797: a64.
112.001: a64.
112.017: end
112.018: chkpt[24]=512
112.018: chkpt[64]=64
112.044: D6 CC E9 B1 EF 04 77 39  ......w9
112.045: F8 01 92 45 5E 96 DE 6A  ...E^..j
112.046: start
112.520: a64.
112.521: D6 CC E9 B1 EF 04 77 39  ......w9
112.522: F8 01 92 45 5E 96 DE 6A  ...E^..j
112.522: start
112.713: a24.
113.193: a24.
113.400: a64.
113.592: a64.
114.071: a24.
114.280: a64.
114.759: a64.
114.983: a64.
115.447: a24.
115.655: a24.
115.862: a64.
116.328: a64.
116.533: a64.
117.001: a24.
117.222: a64.
117.413: a64.
117.429: end
117.430: chkpt[24]=512
117.430: chkpt[64]=128
117.452: D6 CC E9 B1 EF 04 77 39  ......w9
117.454: F8 01 92 45 5E 96 DE 6A  ...E^..j
117.454: start
117.887: a24.
118.092: a24.
118.571: a64.
118.779: a64.
119.259: a64.
119.483: a24.
119.677: a64.
120.141: a64.
120.346: a24.
120.826: a24.
121.034: a24.
121.228: a64.
121.690: a64.
121.899: a24.
122.376: a64.
122.600: a64.
122.600: end
122.601: chkpt[24]=512
122.616: chkpt[64]=128
122.617: D6 CC E9 B1 EF 04 77 39  ......w9
122.633: F8 01 92 45 5E 96 DE 6A  ...E^..j
122.633: start
123.095: a24.
123.097: D6 CC E9 B1 EF 04 77 39  ......w9
123.113: F8 01 92 45 5E 96 DE 6A  ...E^..j
123.113: start
123.303: a24.
123.511: a24.
